Goalkeeping_Rk,Goalkeeping_Player,Goalkeeping_Nation,Goalkeeping_Pos,Goalkeeping_Squad,Goalkeeping_Age,Goalkeeping_Born,Goalkeeping_Playing_Time_MP,Goalkeeping_Playing_Time_Starts,Goalkeeping_Playing_Time_Min,Goalkeeping_Playing_Time_90s,Goalkeeping_Performance_GA,Goalkeeping_Performance_GA90,Goalkeeping_Performance_SoTA,Goalkeeping_Performance_Saves,Goalkeeping_Performance_Save_Pct,Goalkeeping_Performance_W,Goalkeeping_Performance_D,Goalkeeping_Performance_L,Goalkeeping_Performance_CS,Goalkeeping_Performance_CS_Pct,Goalkeeping_Penalty_Kicks_PKatt,Goalkeeping_Penalty_Kicks_PKA,Goalkeeping_Penalty_Kicks_PKsv,Goalkeeping_Penalty_Kicks_PKm,Goalkeeping_Penalty_Kicks_Save_Pct,Goalkeeping_Matches,Goalkeeping_Player_Link,Goalkeeping_Player_ID,Advanced_Goalkeeping_Goals_FK,Advanced_Goalkeeping_Goals_CK,Advanced_Goalkeeping_Goals_OG,Advanced_Goalkeeping_Expected_PSxG,Advanced_Goalkeeping_Expected_PSxG_perSoT,Advanced_Goalkeeping_Expected_PSxG_Plus_per,Advanced_Goalkeeping_Expected_per90,Advanced_Goalkeeping_Launched_Cmp,Advanced_Goalkeeping_Launched_Att,Advanced_Goalkeeping_Launched_Cmp_Pct,Advanced_Goalkeeping_Passes_Att,Advanced_Goalkeeping_Passes_Thr,Advanced_Goalkeeping_Passes_Launch_Pct,Advanced_Goalkeeping_Passes_AvgLen,Advanced_Goalkeeping_Goal_Kicks_Att,Advanced_Goalkeeping_Goal_Kicks_Launch_Pct,Advanced_Goalkeeping_Goal_Kicks_AvgLen,Advanced_Goalkeeping_Crosses_Opp,Advanced_Goalkeeping_Crosses_Stp,Advanced_Goalkeeping_Crosses_Stp_Pct,Advanced_Goalkeeping_Sweeper_No_OPA,Advanced_Goalkeeping_Sweeper_No_OPA_per90,Advanced_Goalkeeping_Sweeper_AvgDist,League
23,Donovan Léon,gf GUF,GK,Auxerre,29,1992,2,2,180,2.0,2,1.00,11,9,90.9,1,1,0,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/51c83a90/Donovan-Leon,51c83a90,0,0,0,1.9,0.13,-0.1,-0.03,19,57,33.3,55,8,63.6,46.4,24,91.7,66.1,41,0,0.0,2,1.00,12.9,Ligue 1
24,Benjamin Leroy,fr FRA,GK,Ajaccio,33,1989,32,32,2798,31.1,60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,1,0.0,Matches,https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,1e7aea56,1,10,1,47.7,0.30,-11.3,-0.36,213,522,40.8,657,77,52.4,38.5,212,84.0,52.1,389,18,4.6,54,1.74,16.9,Ligue 1
25,Alexandre Letellier,fr FRA,GK,Paris S-G,31,1990,1,0,11,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,https://fbref.com/en/players/96fcd380/Alexandre-Letellier,96fcd380,0,0,0,0.0,,0.0,0.00,0,0,,3,0,0.0,19.0,1,0.0,11.0,1,0,0.0,0,0.00,,Ligue 1
26,Mateusz Lis,pl POL,GK,Troyes,25,1997,9,8,751,8.3,16,1.92,51,34,72.5,1,3,4,1,12.5,3,2,1,0,33.3,Matches,https://fbref.com/en/players/fd78b105/Mateusz-Lis,fd78b105,0,2,0,16.4,0.28,+0.4,+0.05,39,127,30.7,235,41,38.7,35.2,78,46.2,37.4,154,12,7.8,13,1.56,14.4,Ligue 1
27,Anthony Lopes,pt POR,GK,Lyon,31,1990,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0,Matches,https://fbref.com/en/players/f00de885/Anthony-Lopes,f00de885,2,5,2,41.4,0.27,+4.4,+0.14,114,317,36.0,838,134,31.3,31.9,183,30.1,31.8,358,19,5.3,25,0.80,13.9,Ligue 1
28,Pau López,es ESP,GK,Marseille,27,1994,33,32,2925,32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0.0,Matches,https://fbref.com/en/players/20b9f052/Pau-Lopez,20b9f052,0,6,1,33.8,0.24,+0.8,+0.02,112,324,34.6,941,132,25.1,31.0,172,51.2,40.4,370,22,5.9,37,1.14,15.4,Ligue 1
29,Steve Mandanda,fr FRA,GK,Rennes,37,1985,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3,Matches,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,1d2d5cc8,0,5,1,32.4,0.28,+2.4,+0.07,163,420,38.8,1022,166,30.6,31.5,192,55.7,41.5,382,35,9.2,51,1.52,16.7,Ligue 1
30,Vito Mannone,it ITA,GK,Lorient,34,1988,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0,Matches,https://fbref.com/en/players/c4173f1a/Vito-Mannone,c4173f1a,2,2,0,25.2,0.29,+1.2,+0.07,56,176,31.8,471,101,25.9,29.5,112,48.2,37.5,344,12,3.5,9,0.50,10.6,Ligue 1
31,Yvon Mvogo,ch SUI,GK,Lorient,28,1994,21,21,1812,20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0.0,Matches,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,dc29b608,0,4,1,27.1,0.27,-0.9,-0.04,86,228,37.7,473,85,34.0,32.1,145,46.2,36.6,381,21,5.5,7,0.35,8.5,Ligue 1
32,Alexander Nübel,de GER,GK,Monaco,25,1996,38,38,3420,38.0,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0,Matches,https://fbref.com/en/players/afb0c500/Alexander-Nubel,afb0c500,1,4,3,49.5,0.24,-5.5,-0.14,189,445,42.5,875,203,32.2,32.8,266,61.3,45.6,454,36,7.9,33,0.87,12.7,Ligue 1
33,Jonas Omlin,ch SUI,GK,Montpellier,28,1994,14,14,1166,13.0,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0,Matches,https://fbref.com/en/players/c631f952/Jonas-Omlin,c631f952,0,2,2,24.1,0.28,+0.1,0.00,53,161,32.9,330,77,32.1,31.7,85,64.7,47.3,209,14,6.7,12,0.93,12.0,Ligue 1
34,Patrick Pentz,at AUT,GK,Reims,25,1997,7,7,630,7.0,14,2.00,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/0810b6df/Patrick-Pentz,0810b6df,0,2,1,11.9,0.34,-1.1,-0.16,29,94,30.9,152,25,44.7,36.3,59,44.1,38.7,103,8,7.8,4,0.57,12.2,Ligue 1
35,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,19,2002,1,0,82,0.9,0,0.00,4,4,100.0,0,0,0,1,,0,0,0,0,,Matches,https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,1b729a98,0,0,0,0.8,0.24,+0.8,+0.93,6,24,25.0,26,2,61.5,43.8,8,100.0,61.0,25,2,8.0,0,0.00,7.5,Ligue 1
36,Ionuț Radu,ro ROU,GK,Auxerre,25,1997,17,17,1530,17.0,20,1.18,74,53,73.0,4,6,7,5,29.4,2,0,2,0,100.0,Matches,https://fbref.com/en/players/67f649be/Ionut-Radu,67f649be,0,0,1,21.9,0.27,+2.9,+0.17,117,349,33.5,469,65,52.9,41.3,128,78.9,53.1,273,14,5.1,13,0.76,12.9,Ligue 1
37,Rémy Riou,fr FRA,GK,Lyon,34,1987,7,6,601,6.7,8,1.20,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0.0,Matches,https://fbref.com/en/players/7f41ee30/Remy-Riou,7f41ee30,0,0,1,8.8,0.20,+1.8,+0.27,12,49,24.5,178,30,22.5,28.7,47,19.1,26.0,78,6,7.7,10,1.50,17.2,Ligue 1
38,Brice Samba,fr FRA,GK,Lens,28,1994,37,37,3330,37.0,28,0.76,125,98,80.0,24,9,4,15,40.5,3,3,0,0,0.0,Matches,https://fbref.com/en/players/60d90c55/Brice-Samba,60d90c55,0,6,1,32.4,0.24,+5.4,+0.15,174,435,40.0,1075,140,35.5,33.3,160,33.1,32.7,384,34,8.9,41,1.11,15.4,Ligue 1
39,Kasper Schmeichel,dk DEN,GK,Nice,35,1986,36,36,3240,36.0,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25.0,Matches,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,53af52f3,2,5,0,35.9,0.23,+0.9,+0.02,170,388,43.8,909,119,30.7,32.7,278,39.2,35.7,455,24,5.3,23,0.64,12.9,Ligue 1
40,Matz Sels,be BEL,GK,Strasbourg,30,1992,38,38,3420,38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,Matches,https://fbref.com/en/players/834b5c4c/Matz-Sels,834b5c4c,1,6,0,56.5,0.27,-2.5,-0.06,159,455,34.9,775,130,44.8,36.9,196,55.1,43.9,504,31,6.2,32,0.84,12.8,Ligue 1
41,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,28,1994,6,6,540,6.0,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,0.0,Matches,https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro,f19f32b1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.8,102,11,56.9,40.7,40,72.5,48.2,93,6,6.5,6,1.00,11.5,Ligue 1
1,Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,Matches,https://fbref.com/en/players/47064058/Oliver-Baumann,47064058,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4,Bundesliga
2,Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3,Matches,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30.0,288,20,6.9,39,1.50,17.0,Bundesliga
3,Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0,Matches,https://fbref.com/en/players/d28339cb/Fabian-Bredlow,d28339cb,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.6,503,86,20.3,27.6,91,29.7,33.5,203,12,5.9,15,1.00,15.2,Bundesliga
4,Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,Matches,https://fbref.com/en/players/db401046/Koen-Casteels,db401046,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57.0,47.5,489,29,5.9,51,1.50,16.5,Bundesliga
5,Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7,Matches,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.8,977,166,42.5,35.9,235,72.8,54.3,486,33,6.8,70,2.12,18.8,Bundesliga
6,Finn Dahmen,de GER,GK,Mainz 05,24,1998,8,8,720,8.0,16,2.00,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7,Matches,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.5,226,38,42.9,36.6,54,77.8,54.5,158,17,10.8,8,1.00,13.8,Bundesliga
7,Tjark Ernst,de GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst,3f6c3ae0,0,0,0,2.5,0.36,+1.5,+1.52,5,13,38.5,22,6,27.3,31.2,13,53.8,43.1,18,0,0.0,0,0.00,3.5,Bundesliga
8,Ralf Fährmann,de GER,GK,Schalke 04,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0,Matches,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann,1e43fad8,0,1,1,12.4,0.21,+0.4,+0.04,99,217,45.6,358,50,45.0,36.8,83,67.5,48.9,162,11,6.8,9,0.79,11.6,Bundesliga
9,Mark Flekken,nl NED,GK,Freiburg,29,1993,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,Matches,https://fbref.com/en/players/a92ab7be/Mark-Flekken,a92ab7be,0,4,0,46.4,0.28,+2.4,+0.07,271,665,40.8,1231,121,40.2,37.6,231,73.6,58.0,434,32,7.4,43,1.26,15.0,Bundesliga
10,Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,23,23,2070,23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,Matches,https://fbref.com/en/players/17376543/Rafal-Gikiewicz,17376543,1,4,0,41.3,0.28,+0.3,+0.01,185,452,40.9,916,127,33.3,33.0,234,62.8,48.9,363,21,5.8,45,1.96,16.7,Bundesliga
11,Lennart Grill,de GER,GK,Union Berlin,23,1999,5,5,450,5.0,11,2.20,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/37998008/Lennart-Grill,37998008,0,1,0,9.0,0.28,-2.0,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17.0,7,1.40,15.1,Bundesliga
12,Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,Matches,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,bcb2ccd8,0,2,1,10.1,0.37,+1.1,+0.19,11,37,29.7,179,37,15.6,26.4,36,25.0,29.6,61,3,4.9,10,1.67,19.4,Bundesliga
13,Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,33,33,2969,33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0,Matches,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,ad3389d5,1,5,2,41.3,0.25,-3.7,-0.11,117,373,31.4,899,148,31.3,32.0,202,45.5,38.7,404,27,6.7,26,0.79,14.1,Bundesliga
14,Gregor Kobel,ch SUI,GK,Dortmund,24,1997,27,27,2430,27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0,Matches,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,0,5,1,33.8,0.29,+2.8,+0.10,100,252,39.7,855,122,20.9,28.9,192,38.0,36.5,295,15,5.1,37,1.37,17.1,Bundesliga
15,Tomáš Koubek,cz CZE,GK,Augsburg,29,1992,11,11,990,11.0,22,2.00,65,45,66.2,1,4,6,1,9.1,0,0,0,0,,Matches,https://fbref.com/en/players/dc366c36/Tomas-Koubek,dc366c36,1,0,2,22.0,0.36,+2.0,+0.19,77,225,34.2,414,48,37.9,36.5,96,70.8,52.5,176,10,5.7,22,2.00,16.8,Bundesliga
16,Andrey Lunyov,ru RUS,GK,Leverkusen,30,1991,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/8a6ab963/Andrey-Lunyov,8a6ab963,0,0,0,1.4,0.35,-0.6,-0.61,4,10,40.0,41,7,24.4,30.3,3,0.0,15.3,6,1,16.7,1,1.00,13.0,Bundesliga
17,Alexander Meyer,de GER,GK,Dortmund,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,Matches,https://fbref.com/en/players/b56dd813/Alexander-Meyer,b56dd813,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,16.2,27.3,44,34.1,35.0,91,8,8.8,18,2.57,19.8,Bundesliga
18,Florian Müller,de GER,GK,Stuttgart,24,1997,19,19,1710,19.0,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0.0,Matches,https://fbref.com/en/players/cbac6ec9/Florian-Muller,cbac6ec9,2,3,0,27.2,0.30,-6.8,-0.36,98,212,46.2,599,98,26.9,29.2,133,38.3,36.6,260,6,2.3,28,1.47,18.9,Bundesliga
19,Manuel Neuer,de GER,GK,Bayern Munich,36,1986,12,12,1080,12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0,Matches,https://fbref.com/en/players/8778c910/Manuel-Neuer,8778c910,0,0,0,14.7,0.29,+3.7,+0.31,39,79,49.4,435,81,16.6,26.8,69,10.1,23.8,103,4,3.9,23,1.92,19.5,Bundesliga
20,Ørjan Nyland,no NOR,GK,RB Leipzig,31,1990,2,2,180,2.0,2,1.00,5,4,60.0,2,0,0,1,50.0,0,0,0,0,,Matches,https://fbref.com/en/players/bdedffac/Orjan-Nyland,bdedffac,0,1,1,1.8,0.36,+0.8,+0.39,11,33,33.3,83,9,32.5,33.6,15,40.0,36.7,28,0,0.0,0,0.00,12.5,Bundesliga
21,Jan Olschowsky,de GER,GK,M'Gladbach,20,2001,4,4,360,4.0,11,2.75,31,20,67.7,1,1,2,0,0.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/fa4cabd1/Jan-Olschowsky,fa4cabd1,0,1,0,11.4,0.39,+0.4,+0.09,11,37,29.7,123,25,28.5,30.5,36,5.6,20.9,59,6,10.2,4,1.00,12.9,Bundesliga
22,Jonas Omlin,ch SUI,GK,M'Gladbach,28,1994,15,15,1290,14.3,18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,0.0,Matches,https://fbref.com/en/players/c631f952/Jonas-Omlin,c631f952,0,0,0,18.1,0.29,+0.1,0.00,57,177,32.2,638,74,22.3,28.7,100,35.0,35.3,220,15,6.8,20,1.40,14.8,Bundesliga
23,Jiří Pavlenka,cz CZE,GK,Werder Bremen,30,1992,33,33,2908,32.3,61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,0,33.3,Matches,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,0a1cb833,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.8,893,152,40.1,36.3,279,49.8,42.9,481,22,4.6,38,1.18,14.9,Bundesliga
24,Diant Ramaj,de GER,GK,Eint Frankfurt,20,2001,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/b90c4a43/Diant-Ramaj,b90c4a43,0,1,0,1.0,0.20,0.0,+0.01,1,3,33.3,21,7,9.5,29.1,4,25.0,22.0,15,1,6.7,1,1.00,11.5,Bundesliga
25,Manuel Riemann,de GER,GK,Bochum,33,1988,34,34,3060,34.0,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3,Matches,https://fbref.com/en/players/9f941969/Manuel-Riemann,9f941969,2,9,3,69.0,0.30,0.0,0.00,554,1175,47.1,1489,83,66.8,44.7,261,69.0,50.6,536,31,5.8,121,3.56,22.2,Bundesliga
26,Frederik Rønnow,dk DEN,GK,Union Berlin,29,1992,29,29,2610,29.0,27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,0.0,Matches,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,a70b8345,0,5,0,35.2,0.26,+8.2,+0.28,240,605,39.7,1115,109,44.6,36.5,163,66.3,49.4,434,43,9.9,29,1.00,13.5,Bundesliga
27,Marvin Schwäbe,de GER,GK,Köln,27,1995,34,34,3060,34.0,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0,Matches,https://fbref.com/en/players/87436846/Marvin-Schwabe,87436846,4,4,3,42.3,0.30,-8.7,-0.26,154,404,38.1,1203,117,28.8,31.3,185,31.4,33.9,468,19,4.1,22,0.65,13.4,Bundesliga
28,Alexander Schwolow,de GER,GK,Schalke 04,30,1992,23,22,2035,22.6,58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,0.0,Matches,https://fbref.com/en/players/0d55d942/Alexander-Schwolow,0d55d942,1,6,0,45.8,0.31,-12.2,-0.54,180,441,40.8,676,79,46.4,38.4,174,73.0,55.2,321,7,2.2,23,1.02,15.0,Bundesliga
29,Tobias Sippel,de GER,GK,M'Gladbach,34,1988,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0,Matches,https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,0d8a37c2,0,3,0,11.6,0.33,-0.4,-0.08,25,106,23.6,212,23,33.5,32.7,48,72.9,53.1,88,2,2.3,4,0.71,13.1,Bundesliga
30,Yann Sommer,ch SUI,GK,M'Gladbach,33,1988,10,10,900,10.0,14,1.40,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0,Matches,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,1,0,1,16.7,0.25,+3.7,+0.37,48,141,34.0,517,52,23.0,28.2,90,24.4,28.6,162,5,3.1,13,1.30,14.6,Bundesliga
31,Yann Sommer,ch SUI,GK,Bayern Munich,33,1988,19,19,1710,19.0,25,1.32,55,30,67.3,11,4,4,5,26.3,7,7,0,0,0.0,Matches,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,1,1,0,23.7,0.32,-1.3,-0.07,48,118,40.7,651,83,14.6,25.1,98,23.5,28.7,212,12,5.7,27,1.42,16.7,Bundesliga
32,Kevin Trapp,de GER,GK,Eint Frankfurt,32,1990,33,33,2970,33.0,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0.0,Matches,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,ce17b5eb,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.5,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,0.73,14.4,Bundesliga
33,Sven Ulreich,de GER,GK,Bayern Munich,33,1988,3,3,270,3.0,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0,Matches,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,0,1,0,2.4,0.18,+0.4,+0.13,9,26,34.6,112,21,20.5,26.0,18,16.7,23.4,34,2,5.9,4,1.33,17.5,Bundesliga
34,Robin Zentner,de GER,GK,Mainz 05,27,1994,26,26,2340,26.0,39,1.50,109,69,67.0,9,8,9,7,26.9,5,3,1,1,25.0,Matches,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,5c4bf6ba,1,2,0,35.4,0.30,-3.6,-0.14,160,474,33.8,672,146,50.0,40.0,194,71.1,54.1,321,43,13.4,53,2.04,17.4,Bundesliga
35,Michael Zetterer,de GER,GK,Werder Bremen,27,1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,,Matches,https://fbref.com/en/players/9b688ae1/Michael-Zetterer,9b688ae1,0,1,0,3.2,0.24,+0.2,+0.11,16,33,48.5,49,13,51.0,41.6,12,66.7,50.3,15,3,20.0,4,2.37,16.5,Bundesliga
